order_item_id,order_id,product_id,quantity,price
1,1767,39,2,397.08
2,1780,38,2,431.25
3,1576,183,1,416.13
4,860,79,3,99.84
5,1496,197,4,193.29
6,592,161,2,109.04
7,241,34,2,373.77
8,8,160,3,417.69
9,26,118,4,345.31
10,1752,128,5,25.71
11,1654,2,5,115.49
12,1808,127,2,278.5
13,445,151,4,5.84
14,930,105,4,161.51
15,163,154,5,361.28
16,14,63,5,221.86
17,570,159,5,286.71
18,1680,54,1,439.97
19,379,38,1,431.25
20,1338,90,1,332.63
21,298,9,5,142.7
22,1717,155,3,158.1
23,679,23,1,336.74
24,224,107,2,498.07
25,331,173,3,249.72
26,1252,170,5,492.05
27,1173,144,2,469.92
28,1979,117,5,109.26
29,738,10,1,350.58
30,1574,77,3,35.0
31,755,98,1,64.34
32,1554,110,5,187.92
33,133,75,4,214.67
34,276,32,3,442.92
35,675,135,4,392.28
36,1075,54,2,439.97
37,1254,15,1,270.43
38,1171,187,5,244.88
39,180,124,5,282.65
40,1913,181,3,475.27
41,875,156,3,204.19
42,532,135,5,392.28
43,1277,91,2,99.0
44,1259,145,4,93.39
45,1065,187,4,244.88
46,1009,47,5,486.08
47,477,182,3,408.43
48,397,1,1,17.38
49,50,120,1,318.97
50,1511,54,5,439.97
51,850,106,1,9.61
52,684,90,5,332.63
53,1651,164,2,239.23
54,24,164,2,239.23
55,1414,73,3,404.71
56,1619,18,3,100.18
57,615,130,5,335.13
58,664,197,1,193.29
59,234,176,3,403.03
60,700,102,5,106.11
61,1262,8,2,212.66
62,398,85,3,87.32
63,1889,173,4,249.72
64,1877,122,1,320.37
65,1323,35,4,374.77
66,319,161,4,109.04
67,1827,138,3,115.1
68,948,106,1,9.61
69,1711,134,3,17.27
70,1158,186,3,420.73
71,1138,138,1,115.1
72,427,148,3,305.07
73,1638,91,1,99.0
74,1986,39,3,397.08
75,1722,8,3,212.66
76,769,161,5,109.04
77,1726,43,5,342.45
78,1241,100,2,45.58
79,1219,30,3,457.0
80,1445,81,1,234.0
81,557,106,1,9.61
82,1018,61,3,378.86
83,926,78,2,401.29
84,1076,78,2,401.29
85,230,96,1,426.41
86,1593,52,1,459.65
87,909,130,1,335.13
88,1637,124,5,282.65
89,316,49,3,421.63
90,1892,124,5,282.65
91,636,199,3,271.42
92,294,197,1,193.29
93,1684,133,2,488.22
94,421,186,1,420.73
95,941,100,5,45.58
96,238,2,3,115.49
97,1910,12,5,55.59
98,1786,23,3,336.74
99,957,12,1,55.59
100,1067,197,3,193.29
101,47,148,3,305.07
102,1309,54,3,439.97
103,411,50,3,103.46
104,567,137,3,194.36
105,1583,113,1,8.87
106,559,39,2,397.08
107,561,30,1,457.0
108,1963,160,5,417.69
109,1053,27,2,113.71
110,1112,90,5,332.63
111,653,70,2,336.14
112,1932,181,3,475.27
113,1176,63,2,221.86
114,146,80,5,74.39
115,1828,87,5,86.5
116,909,13,2,182.69
117,60,121,1,6.76
118,217,99,1,291.56
119,177,110,4,187.92
120,367,181,5,475.27
121,1826,152,4,185.29
122,1263,92,3,291.69
123,681,51,5,271.99
124,161,194,4,210.81
125,1163,34,1,373.77
126,1665,179,4,71.0
127,200,117,3,109.26
128,1402,165,4,331.13
129,964,60,2,214.45
130,295,158,3,340.27
131,1870,94,4,294.17
132,376,180,3,494.01
133,1616,84,4,484.65
134,999,8,1,212.66
135,974,29,3,203.58
136,981,119,2,246.82
137,579,197,3,193.29
138,1238,148,2,305.07
139,1041,27,4,113.71
140,1675,183,1,416.13
141,668,143,1,341.36
142,1623,78,5,401.29
143,945,103,5,123.15
144,847,62,5,357.91
145,500,141,2,167.49
146,1995,124,4,282.65
147,136,88,2,136.28
148,1667,178,5,459.15
149,883,112,5,307.78
150,1613,88,5,136.28
151,1422,61,2,378.86
152,1358,172,1,101.25
153,1515,183,5,416.13
154,1714,125,1,472.8
155,1213,153,4,313.46
156,667,143,1,341.36
157,1684,114,2,466.22
158,631,104,1,337.49
159,1226,28,5,118.38
160,1580,98,3,64.34
161,1013,166,1,333.61
162,186,56,2,47.4
163,1818,149,1,195.67
164,1551,38,2,431.25
165,928,137,3,194.36
166,799,158,5,340.27
167,916,51,2,271.99
168,1396,82,3,404.97
169,1168,174,3,329.75
170,1882,112,3,307.78
171,183,150,1,131.09
172,1253,131,4,442.65
173,1736,33,3,75.72
174,128,95,5,82.93
175,1983,14,1,135.94
176,1441,144,3,469.92
177,225,73,1,404.71
178,482,111,5,417.7
179,808,161,3,109.04
180,1458,98,4,64.34
181,782,112,5,307.78
182,433,170,2,492.05
183,973,36,2,202.7
184,1138,99,3,291.56
185,1721,107,2,498.07
